bundesland,refdatum,case_count,adm1_name,date,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,home_isolation,travel_ban_local,travel_ban_intl,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,p_ger_1,p_ger_2,p_ger_3,p_ger_4,p_ger_5,p_ger_6,p_ger_7
"Berlin","2020/03/17 00:00:00",210,"Berlin","2020-03-17",1807,"3","0","2","1","0","1","0","3","2","0","2","1","2",1,0,1,1,1,0,1,17mar2020,2,3,2020,17,"Berlin",0,210,5.347107,,,,1,0,1,1,1,0,1
"Berlin","2020/03/18 00:00:00",208,"Berlin","2020-03-18",2015,"3","0","2","1","0","1","1","4","2","0","2","1","1",1,0,1,1,1,1,1,18mar2020,3,3,2020,18,"Berlin",0,208,5.337538,,,,1,0,1,1,1,1,1
"Berlin","2020/03/19 00:00:00",180,"Berlin","2020-03-19",2195,"3","0","2","1","0","1","2","4","2","0","2","1","1",1,0,1,1,1,1,1,19mar2020,4,3,2020,19,"Berlin",0,180,5.192957,,,,1,0,1,1,1,1,1
"Berlin","2020/03/20 00:00:00",189,"Berlin","2020-03-20",2384,"3","0","2","1","0","1","2","4","2","0","2","1","1",1,0,1,1,1,1,1,20mar2020,5,3,2020,20,"Berlin",0,189,5.241747,.04879,,,1,0,1,1,1,1,1
"Berlin","2020/03/21 00:00:00",149,"Berlin","2020-03-21",2533,"3","0","2","4","0","2","2","4","2","0","2","1","1",1,0,1,1,1,1,1,21mar2020,6,3,2020,21,"Berlin",0,149,5.003946,,,,1,0,1,1,1,1,1
"Berlin","2020/03/22 00:00:00",125,"Berlin","2020-03-22",2658,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,22mar2020,0,3,2020,22,"Berlin",0,125,4.828314,,,,1,1,1,1,1,1,1
"Berlin","2020/03/23 00:00:00",194,"Berlin","2020-03-23",2852,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,23mar2020,1,3,2020,23,"Berlin",0,194,5.267858,.4395442,,,1,1,1,1,1,1,1
"Berlin","2020/03/24 00:00:00",135,"Berlin","2020-03-24",2987,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,24mar2020,2,3,2020,24,"Berlin",0,135,4.905275,,,,1,1,1,1,1,1,1
"Berlin","2020/03/25 00:00:00",142,"Berlin","2020-03-25",3129,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,25mar2020,3,3,2020,25,"Berlin",0,142,4.955827,.0505524,,,1,1,1,1,1,1,1
"Berlin","2020/03/26 00:00:00",153,"Berlin","2020-03-26",3282,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,26mar2020,4,3,2020,26,"Berlin",0,153,5.030438,.0746107,,,1,1,1,1,1,1,1
"Berlin","2020/03/27 00:00:00",138,"Berlin","2020-03-27",3420,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,27mar2020,5,3,2020,27,"Berlin",0,138,4.927254,,,,1,1,1,1,1,1,1
"Berlin","2020/03/28 00:00:00",122,"Berlin","2020-03-28",3542,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,28mar2020,6,3,2020,28,"Berlin",0,122,4.804021,,,,1,1,1,1,1,1,1
"Berlin","2020/03/29 00:00:00",98,"Berlin","2020-03-29",3640,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,29mar2020,0,3,2020,29,"Berlin",0,98,4.584968,,,,1,1,1,1,1,1,1
"Berlin","2020/03/30 00:00:00",141,"Berlin","2020-03-30",3781,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,30mar2020,1,3,2020,30,"Berlin",0,141,4.94876,.3637924,,,1,1,1,1,1,1,1
"Berlin","2020/03/31 00:00:00",106,"Berlin","2020-03-31",3887,"3","2","2","4","0","2","2","4","2","0","2","1","1",1,1,1,1,1,1,1,31mar2020,2,3,2020,31,"Berlin",0,106,4.663439,,,,1,1,1,1,1,1,1
"Berlin","2020/04/01 00:00:00",124,"Berlin","2020-04-01",4011,"3","2","2","4","0","2","2","4","2","1","2","1","1",1,1,1,1,1,1,1,01apr2020,3,4,2020,1,"Berlin",0,124,4.820282,.1568422,,,1,1,1,1,1,1,1
"Berlin","2020/04/02 00:00:00",131,"Berlin","2020-04-02",4142,"3","2","2","4","0","2","2","4","2","1","2","1","1",1,1,1,1,1,1,1,02apr2020,4,4,2020,2,"Berlin",0,131,4.875197,.0549159,,,1,1,1,1,1,1,1
"Berlin","2020/04/03 00:00:00",143,"Berlin","2020-04-03",4285,"3","2","2","4","0","2","2","4","2","1","2","1","1",1,1,1,1,1,1,1,03apr2020,5,4,2020,3,"Berlin",0,143,4.962845,.0876474,,,1,1,1,1,1,1,1
"Berlin","2020/04/04 00:00:00",89,"Berlin","2020-04-04",4374,"3","2","2","4","0","2","2","4","2","1","2","1","1",1,1,1,1,1,1,1,04apr2020,6,4,2020,4,"Berlin",0,89,4.488636,,,,1,1,1,1,1,1,1
"Berlin","2020/04/05 00:00:00",82,"Berlin","2020-04-05",4456,"3","2","2","4","0","2","2","4","2","1","2","1","1",1,1,1,1,1,1,1,05apr2020,0,4,2020,5,"Berlin",0,82,4.406719,,,,1,1,1,1,1,1,1
"Berlin","2020/04/06 00:00:00",129,"Berlin","2020-04-06",4585,"3","2","2","4","0","2","2","4","2","1","2","1","1",1,1,1,1,1,1,1,06apr2020,1,4,2020,6,"Berlin",0,129,4.859812,.4530931,,,1,1,1,1,1,1,1
"Brandenburg","2020/02/24 00:00:00",1,"Brandenburg","2020-02-24",,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,24feb2020,1,2,2020,24,"Brandenburg",0,,,,,,0,0,0,0,0,0,0
"Brandenburg","2020/02/27 00:00:00",2,"Brandenburg","2020-02-27",,"2","0","0","0","0","0","0","0","0","0","2","1","2",1,0,0,0,0,0,0,27feb2020,4,2,2020,27,"Brandenburg",0,,,,,,1,0,0,0,0,0,0
"Brandenburg","2020/02/29 00:00:00",3,"Brandenburg","2020-02-29",,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,29feb2020,6,2,2020,29,"Brandenburg",0,,,,,,1,0,1,0,0,0,1
"Brandenburg","2020/03/01 00:00:00",2,"Brandenburg","2020-03-01",11,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,01mar2020,0,3,2020,1,"Brandenburg",0,,,,,,1,0,1,0,0,0,1
"Brandenburg","2020/03/02 00:00:00",5,"Brandenburg","2020-03-02",16,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,02mar2020,1,3,2020,2,"Brandenburg",0,5,1.609438,,,,1,0,1,0,0,0,1
"Brandenburg","2020/03/04 00:00:00",8,"Brandenburg","2020-03-04",24,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,04mar2020,3,3,2020,4,"Brandenburg",0,,,,,,1,0,1,0,0,0,1
"Brandenburg","2020/03/05 00:00:00",3,"Brandenburg","2020-03-05",27,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,05mar2020,4,3,2020,5,"Brandenburg",0,3,1.098612,,,,1,0,1,0,0,0,1
"Brandenburg","2020/03/06 00:00:00",15,"Brandenburg","2020-03-06",42,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,06mar2020,5,3,2020,6,"Brandenburg",0,15,2.70805,1.609438,,,1,0,1,0,0,0,1
"Brandenburg","2020/03/07 00:00:00",9,"Brandenburg","2020-03-07",51,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,07mar2020,6,3,2020,7,"Brandenburg",0,9,2.197225,,,,1,0,1,0,0,0,1
